modeldb_id,model_name,paper_id,authors,title,journal,year,doi,pubmedid,citation_count,modeldb_model_count,all_paper_ids
53893,T-type Ca current in thalamic neurons (Wang et al 1991),23054,"Wang XJ, Rinzel J, Rogawski MA",A model of the T-type calcium current and the low-threshold spike in thalamic neurons.,Journal of neurophysiology,1991,10.1152/jn.1991.66.3.839,,161,1,23054
102288,O-LM interneuron model (Lawrence et al. 2006),102353,"Lawrence JJ, Saraga F, Churchill JF, Statland JM, Travis KE, Skinner FK, McBain CJ",Somatodendritic Kv7/KCNQ/M channels control interspike interval in hippocampal interneurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2006,10.1523/JNEUROSCI.3521-06.2006,,160,1,102353
144526,"State and location dependence of action potential metabolic cost (Hallermann et al., 2012)",144528,"Hallermann S, de Kock CP, Stuart GJ, Kole MH",State and location dependence of action potential metabolic cost in cortical pyramidal neurons.,Nature neuroscience,2012,10.1038/nn.3132,,159,1,144528
116769,Spine neck plasticity controls postsynaptic calcium signals (Grunditz et al. 2008),116770,"Grunditz A, Holbro N, Tian L, Zuo Y, Oertner TG",Spine neck plasticity controls postsynaptic calcium signals through electrical compartmentalization.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2008,10.1523/JNEUROSCI.2702-08.2008,,157,1,116770
113732,MEG of Somatosensory Neocortex (Jones et al. 2007),112075,"Jones SR, Pritchett DL, Stufflebeam SM, Hämäläinen M, Moore CI",Neural correlates of tactile detection: a combined magnetoencephalography and biophysically based computational modeling study.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2007,10.1523/JNEUROSCI.0482-07.2007,,156,1,112075
127305,Spatial summation of excitatory and inhibitory inputs in pyramidal neurons (Hao et al. 2010),127301,"Hao J, Wang XD, Dan Y, Poo MM, Zhang XH",An arithmetic rule for spatial summation of excitatory and inhibitory inputs in pyramidal neurons.,Proceedings of the National Academy of Sciences of the United States of America,2009,10.1073/pnas.0912022106,,152,1,127301
20015,CA1 interneuron: K currents (Lien et al 2002),20017,"Lien CC, Martina M, Schultz JH, Ehmke H, Jonas P","Gating, modulation and subunit composition of voltage-gated K(+) channels in dendritic inhibitory interneurones of rat hippocampus.",The Journal of physiology,2002,10.1113/jphysiol.2001.013066,,151,1,20017
138321,Mechanisms of magnetic stimulation of central nervous system neurons (Pashut et al. 2011),138324,"Pashut T, Wolfus S, Friedman A, Lavidor M, Bar-Gad I, Yeshurun Y, Korngreen A",Mechanisms of magnetic stimulation of central nervous system neurons.,PLoS computational biology,2011,10.1371/journal.pcbi.1002022,,149,1,138324
3800,Cardiac Atrial Cell (Courtemanche et al 1998),3870,"Courtemanche M, Ramirez RJ, Nattel S",Ionic mechanisms underlying human atrial action potential properties: insights from a mathematical model.,The American journal of physiology,1998,10.1152/ajpheart.1998.275.1.H301,,142,2,3870
80769,"Cerebellar purkinje cell: interacting Kv3 and Na currents influence firing (Akemann, Knopfel 2006)",75417,"Akemann W, Knöpfel T",Interaction of Kv3 potassium channels and resurgent sodium current influences the rate of spontaneous firing of Purkinje neurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2006,10.1523/JNEUROSCI.5204-05.2006,,138,1,75417
